prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
qrhp3f9tyw,,,,,,,skubata01,22267,669373,10711,skubata01,11763
qsddwgvrsm,,,,,,,zeferry01,25420,666171,12164,zeferry01,61375
qt4b70wfzm,,,,,,,basabos01,23985,678545,11691,basabos01,12738
qtqbkdclz4,,,,,,,steersp01,26323,668715,11556,steersp01,12688
qwexd7091d,,,,,,,kochaja01,27688,686799,11967,kochaja01,11774
qx315nnb8d,,,,,,,gibsoky01,10123,502043,8026,gibsoky01,8864
qz278pd9bh,,,,,,,grayso01,12768,543243,8546,grayso01,9459
qzb3pj78f4,,,,,,,semiema01,12533,543760,8602,semiema01,9517
r0k8yb38xw,,,,,,,jacksje02,22239,669236,10234,,11325
r16fl66vyd,,,,,,,chishja01,20454,665862,10231,chishja01,10839
r1ssj2367w,,,,,,,arciaor01,13185,606115,8950,arciaor01,9871
r2lxcj1d78,,,,,,,clarkde02,29858,672016,12241,clarkde02,12504
r3we79jt0w,,,,,,,valdeen01,21716,665839,11626,valdeen01,12711
r5qf9b4ch4,,,,,,,roberwi02,25467,683770,12409,,61943
r615784ler,,,,,,,hendegu01,26289,683002,11108,hendegu01,11731
r6mm18d1rm,,,,,,,shewmbr01,25817,669699,10848,shewmbr01,11729
r6yy5dgt6m,,,,,,,campbis01,25551,663462,10871,,11825
r7zd3dkgym,,,,,,,reyespa01,16357,622569,10098,reyespa01,11153
r8bj7lfsgh,,,,,,,stoweky01,26151,669065,11414,stoweky01,11733
r8ee5y7w68,,,,,,,sandrja01,25158,682144,12412,,63714
r8q3t44xzw,,,,,,,meyerma01,27474,676974,10832,meyerma01,12015
r9p13hzbkw,,,,,,,haaseer01,14111,606992,9831,haaseer01,11077
r9ygrfp4k0,,,,,,,capravi01,25040,681962,11460,capravi01,12607
r9z6fpypf8,,,,,,,tellero01,15679,642133,9880,tellero01,10620
rczxkq2kzw,,,,,,,rodenal01,31564,702176,12210,rodenal01,60467
rd7xqsm3gr,,,,,,,ramoshe02,22515,671218,10213,ramoshe01,10944
rdwswldhkw,,,,,,,mooredy01,18042,664238,10444,mooredy01,11172
redhqhzt0r,,,,,,,jobeja01,30203,695549,11897,jobeja01,12422
rfj3dnzy08,,,,,,,garciad02,19287,666969,9964,garciad02,11127
rfl25845e8,,,,,,,allenni02,22277,669397,10857,allenni02,11359
rg0yw6jtsd,,,,,,,loutory01,29521,702795,12090,,60407
rgybjsx3n8,,,,,,,tolbety01,25779,686475,12374,,61637
rh5nq1f89d,,,,,,,sborzjo01,18323,622250,10487,sborzjo01,11214
rj18fb3jp0,,,,,,,irvinja01,21504,663623,10976,irvinja01,11560
rjcjn7jlt4,,,,,,,thomaco03,31855,687515,12199,thomaco03,60311
rk3ewvzc5w,,,,,,,youngda02,18439,664849,10015,,12609
rmqx02kh0h,,,,,,,friedma01,13743,608331,8704,friedma01,9620
rnt2htk9f4,,,,,,,smithdr01,17755,622098,10047,smithdr01,11050
rnt4bk9tq0,,,,,,,lazarma01,23426,676661,12146,,63454
rps8gshx90,,,,,,,pinaro01,23091,673820,12413,,12459
rqhj9d5cem,,,,,,,hedgeau01,12976,595978,8431,hedgeau01,9336
rsb5jj8yv4,,,,,,,johnsse01,26020,686751,11141,,11844
rsq51dk9sw,,,,,,,oviedjo01,22487,670912,10892,oviedjo01,11838
rssqmxw6pd,,,,,,,alcansa01,18684,645261,9754,alcansa01,10597
rt2xnr6kj4,,,,,,,mailelu01,13355,571912,9143,mailelu01,10068
rt71d68yf8,,,,,,,contrlu01,25839,664351,12105,,61854
rvbv82056d,,,,,,,arraelu01,18568,650333,10481,arraelu01,11221
ry58vpbpm8,,,,,,,garabge01,19835,642520,12092,,64463
ryexgvc6h8,,,,,,,jeffery01,24618,680777,10946,jeffery01,11794
rzc5l2strh,,,,,,,speiega01,17170,642100,10688,speiega01,11653
rzrz4zgykr,,,,,,,severlu01,15890,622663,8958,severlu01,9879
s0zpdbgl6m,,,,,,,ariaslu01,23811,678215,12245,,61273
s3n0jzl4br,,,,,,,gibsoca01,31815,806188,12382,,61279
s3s8zspnew,,,,,,,tarnofr01,23324,676206,11335,tarnofr01,11424
s3tx9ee770,,,,,,,baezja01,12979,595879,8643,baezja01,9557
s4h64n1nz8,,,,,,,seiglan01,23802,678011,10136,,11356
s57qqmxl0w,,,,,,,martini01,12730,607259,8748,martini01,9651
s5efwrg41w,,,,,,,machivi01,17684,605353,10802,machivi01,11716
s624zhmwc0,,,,,,,janseke01,3096,445276,7931,janseke01,8758
s6c7f2z5er,,,,,,,,sa3015446,692414,11991,,63481
s6fjsmd344,,,,,,,molinan01,26952,683627,12003,,60035
s6lm39htnd,,,,,,,warrewi01,30182,701542,11898,warrewi01,60295
s8nhhe2t1d,,,,,,,cabaljo01,23401,676609,11786,cabaljo01,60776
s9t7l9ngh8,,,,,,,hoffmno01,23381,676510,11775,,61336
sb8cee8thh,,,,,,,snellbl01,13543,605483,9328,snellbl01,10148
sbtctz9r9d,,,,,,,norbyco01,29592,681393,11603,norbyco01,12370
sc9gd99vkm,,,,,,,matonph01,18064,664208,9677,matonph01,10729
scp39vxnfr,,,,,,,actonga01,27583,670183,11759,actonga01,61900
sdpdcq9hn4,,,,,,,hampsga01,19262,641658,9983,hampsga01,10873
sfgeckkdgr,,,,,,,giolilu01,15474,608337,8724,giolilu01,9640
sfh16ljyxr,,,,,,,mikolmi01,9803,571945,9819,mikolmi01,9173
